Annotations,Speaker,Utterance
,%mor,det|a-Ind-Art adj|little-Pos-S1 noun|girl .
,%gra,1|3|DET 2|3|AMOD 3|3|ROOT 4|3|PUNCT
,%com,The doll had no shoes on
NOP,*CHI,"where's the shoes on the [//] this baby doll , ay ?"
,%mor,adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|shoe-Plur adp|on det|this-Def-Dem noun|baby noun|doll cm|cm intj|ay ?
,%gra,1|2|ADVMOD 2|10|ROOT 3|4|DET 4|2|NSUBJ 5|8|CASE 6|8|DET 7|8|COMPOUND 8|4|NMOD 9|2|PUNCT 10|2|DISCOURSE 11|2|PUNCT
,%xpho,<5w> d& <6w> dis
NOP,*KAR,there aren't any shoes for that one .
,%mor,pron|there-Int-S1 verb|be-Fin-Ind-Pres-P3~part|not det|any-Def noun|shoe-Plur adp|for det|that-Def-Dem noun|one .
,%gra,1|2|EXPL 2|8|ROOT 3|2|ADVMOD 4|5|DET 5|2|NSUBJ 6|8|CASE 7|8|DET 8|5|NMOD 9|2|PUNCT
NOP,*CHI,only this one ?
,%mor,adv|only det|this-Def-Dem noun|one ?
,%gra,1|3|ADVMOD 2|3|DET 3|3|ROOT 4|3|PUNCT
,%act,<aft> Shown a teenage doll
,%xpho,<2w> dis
,*KAR,who's this ?
,%mor,pron|who-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 ?
,%gra,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT
NOP,*CHI,Brooke Shields .
,%mor,noun|Brooke noun|Shield .
,%gra,1|2|ROOT 2|1|FLAT 3|1|PUNCT
NOP,*CHI,that's not Brooke Shields in [ain't] it ?
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 part|not noun|Brooke noun|Shield aux|be-Fin-Ind-Pres-S3~part|not pron|it-Prs-Nom-S3 ?
,%gra,1|4|NSUBJ 2|4|COP 3|4|ADVMOD 4|8|ROOT 5|4|FLAT 6|8|COP 7|8|ADVMOD 8|4|ACL-RELCL 9|4|PUNCT
NOP,*CHI,dat's [that's] da [the] daddy right ?
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|daddy adj|right-Pos-S1 ?
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|5|ROOT 5|4|AMOD 6|4|PUNCT
NOP,*KAR,right .
,%mor,adv|right .
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*CHI,dat's [that's] da [the] mother .
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|mother .
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|4|ROOT 5|4|PUNCT
NOP,*CHI,they gotta go home now .
,%mor,pron|they-Prs-Nom-P3 aux|gotta-Fin-S verb|go-Inf-S adv|home adv|now .
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|3|ADVMOD 5|3|ADVMOD 6|3|PUNCT
,%xpho,<1w> dej
NOP,*CHI,I can't get this .
,%mor,pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|get-Inf-S pron|this-Dem-S1 .
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|5|ROOT 5|4|OBJ 6|4|PUNCT
,%act,<aft> Playing dolls
,%exp,Can't do up the buttons on the dolls coat
,%xpho,<4w> dis
NOP,*KAR,who are you going to be ?
,%mor,pron|who-Int-S1 aux|be-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|go-Part-Pres-S part|to aux|be-Inf-S ?
,%gra,1|4|OBL 2|4|AUX 3|4|NSUBJ 4|6|ROOT 5|1|MARK 6|1|COP 7|4|PUNCT
NOP,*CHI,an angel .
,%mor,det|a-Ind-Art noun|angel .
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT
,%com,She was given all the dolls
NOP,*CHI,want this one ?
,%mor,verb|want-Fin-Imp-S det|this-Def-Dem noun|one ?
,%gra,1|3|ROOT 2|3|DET 3|1|OBJ 4|1|PUNCT
,%act,Offered a doll to Karen
,%xpho,<2w> dis
NOP,*CHI,that's his mother .
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 pron|his-Prs-Gen-S3 noun|mother .
,%gra,1|4|NSUBJ 2|4|COP 3|4|NMOD-POSS 4|4|ROOT 5|4|PUNCT
,%exp,Grandmother type doll
NOP,*CHI,that's her mother ?
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 pron|her-Prs-Gen-S3 noun|mother ?
,%gra,1|4|NSUBJ 2|4|COP 3|4|NMOD-POSS 4|4|ROOT 5|4|PUNCT
NOP,*CHI,<this is the> [//] <this is> [/] this is gonna be the house right ?
,%mor,pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 part|gonna aux|be-Inf-S det|the-Def-Art noun|house adv|right ?
,%gra,1|6|NSUBJ 2|6|AUX 3|6|ADVMOD 4|6|COP 5|6|DET 6|7|ROOT 7|6|ADVMOD 8|6|PUNCT
,%xpho,<2w> dis <3w> d& <4w> dis <6w> dis <10w> d&
NOP,*CHI,that's the Mimi .
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|Mimi .
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|4|ROOT 5|4|PUNCT
,%exp,older doll
,%xpho,<1w> d&t's
NOP,*KAR,"+"" Susie where are you going to play ?"
,%mor,noun|Susie adv|where aux|be-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|go-Part-Pres-S part|to verb|play-Inf-S ?
,%gra,1|5|VOCATIVE 2|5|ADVMOD 3|5|AUX 4|5|NSUBJ 5|7|ROOT 6|7|MARK 7|5|XCOMP 8|5|PUNCT
,%exp,The doll speaking to Melissa's doll
NOP,*CHI,"+"" she's going outside &-uh play ."
,%mor,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S adp|outside noun|play .
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT
,%exp,Doll speaking
NOP,*KAR,"+"" where are you going to make the hamburger dear ?"
,%mor,adv|where aux|be-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|go-Part-Pres-S part|to verb|make-Inf-S det|the-Def-Art noun|hamburger adj|dear-Pos-S1 ?
,%gra,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|9|ROOT 5|6|MARK 6|4|XCOMP 7|8|DET 8|6|OBJ 9|6|XCOMP 10|4|PUNCT
NOP,*CHI,"+"" we're gonna make the hamburg(er) (.) ."
,%mor,pron|we-Prs-Nom-P1~aux|be-Fin-Ind-Pres-P1 adv|gonna verb|make-Inf-S det|the-Def-Art noun|hamburger .
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|6|ROOT 5|6|DET 6|4|OBJ 7|4|PUNCT
,%xpho,<4w> d&
NOP,*CHI,"+"" ker@c ker@c ker@c ker@c ."
,%mor,intj|ker intj|ker intj|ker noun|ker .
,%gra,1|4|DISCOURSE 2|4|REPARANDUM 3|4|REPARANDUM 4|4|ROOT 5|4|PUNCT
,%act,<1w> pounding doll's hands down
NOP,*CHI,there is some hamburg(er) .
,%mor,pron|there-Int-S1 verb|be-Fin-Ind-Pres-S3 det|some-Def noun|hamburger .
,%gra,1|2|EXPL 2|4|ROOT 3|4|DET 4|2|NSUBJ 5|2|PUNCT
,%xpho,<1w> der
NOP,*CHI,going to work she's going to work .
,%mor,verb|go-Ger-S adp|to noun|work pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S part|to verb|work-Inf-S .
,%gra,1|6|ADVCL 2|3|CASE 3|1|OBL 4|6|NSUBJ 5|6|AUX 6|8|ROOT 7|8|MARK 8|6|XCOMP 9|6|PUNCT
NOP,*CHI,she's mad at her .
,%mor,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|mad-Pos-S1 adp|at pron|her-Prs-Acc-S3 .
,%gra,1|3|NSUBJ 2|3|COP 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT
,%act,Pretended that the daughter had spoiled the mother's dinner
NOP,*KAR,is she ?
,%mor,aux|be-Fin-Ind-Pres-S3 pron|she-Prs-Nom-S3 ?
,%gra,1|2|COP 2|2|ROOT 3|2|PUNCT
NOP,*KAR,what's she going to do ?
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|she-Prs-Nom-S3 verb|go-Part-Pres-S part|to verb|do-Inf-S ?
,%gra,1|6|OBJ 2|4|AUX 3|4|NSUBJ 4|6|ROOT 5|6|MARK 6|4|XCOMP 7|4|PUNCT
NOP,*CHI,I make some lunch for her (o)kay ?
,%mor,pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 det|some-Def noun|lunch adp|for pron|her-Prs-Acc-S3 adj|okay-Pos-S1 ?
,%gra,1|2|NSUBJ 2|7|ROOT 3|4|DET 4|2|OBJ 5|6|CASE 6|2|OBL 7|2|ADVCL 8|2|PUNCT
NOP,*CHI,you hold that doll and you hold that doll .
,%mor,pron|you-Prs-Nom-S2 verb|hold-Fin-Ind-Pres-S2 det|that-Def-Dem noun|doll cconj|and pron|you-Prs-Nom-S2 verb|hold-Fin-Ind-Pres-S2 det|that-Def-Dem noun|doll .
,%gra,1|2|NSUBJ 2|9|ROOT 3|4|DET 4|2|OBJ 5|7|CC 6|7|NSUBJ 7|2|CONJ 8|9|DET 9|7|OBJ 10|2|PUNCT
,%act,<1w> Gave me the dolls
NOP,*CHI,she live here right ?
,%mor,pron|she-Prs-Nom-S3 verb|live-Fin-Ind-Pres-S3 adv|here adv|right ?
,%gra,1|2|NSUBJ 2|4|ROOT 3|2|ADVMOD 4|2|ADVMOD 5|2|PUNCT
NOP,*CHI,she going to work now .
,%mor,pron|she-Prs-Nom-S3 verb|go-Ger-S adp|to noun|work adv|now .
,%gra,1|2|NSUBJ 2|5|ROOT 3|4|CASE 4|2|OBL 5|2|ADVMOD 6|2|PUNCT
,%gpx,<1w> Indicating a doll
NOP,*CHI,how (a)bout this be the &-um the [//] that's not the dolly's house .
,%mor,adv|how adp|about pron|this-Dem-S1 aux|be-Inf-S det|the-Def-Art pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 part|not det|the-Def-Art noun|dolly~part|s noun|house .
,%gra,1|12|ROOT 2|4|MARK 3|4|NSUBJ 4|1|COP 5|12|DET 6|12|NSUBJ 7|12|COP 8|12|ADVMOD 9|10|DET 10|12|NMOD-POSS 11|10|CASE 12|1|PARATAXIS 13|1|PUNCT
,%xpho,<3w> dis <5w> d& <7w> d& <8w> d&t's <10w> d&
NOP,*CHI,hello there .
,%mor,intj|hello adv|there .
,%gra,1|2|ROOT 2|1|ADVMOD 3|1|PUNCT
,%act,<1w> Talking to a doll
,%xpho,<2w> dere
NOP,*KAR,"+"" get me some lunch please ."
,%mor,verb|get-Fin-Imp-S pron|I-Prs-Acc-S1 det|some-Def noun|lunch intj|please .
,%gra,1|5|ROOT 2|1|IOBJ 3|4|DET 4|1|OBJ 5|1|DISCOURSE 6|1|PUNCT
,%exp,Doll speaking
NOP,*CHI,I'll get her some .
,%mor,pron|I-Prs-Nom-S1~aux|will-Fin-S verb|get-Inf-S pron|her-Prs-Acc-S3 det|some-Def .
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|3|OBJ 5|3|OBJ 6|3|PUNCT
NOP,*KAR,what does she want ?
,%mor,pron|what-Int-S1 aux|do-Fin-Ind-Pres-S3 pron|she-Prs-Nom-S3 verb|want-Inf-S ?
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|4|ROOT 5|4|PUNCT
NOP,*CHI,she hafta eat lunch too .
,%mor,pron|she-Prs-Nom-S3 aux|hafta-Fin-S verb|eat-Inf-S noun|lunch adv|too .
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|3|OBJ 5|3|ADVMOD 6|3|PUNCT
NOP,*CHI,mother is gonna cook .
,%mor,noun|mother aux|be-Fin-Ind-Pres-S3 adv|gonna verb|cook-Inf-S .
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT
NOP,*CHI,you wait in kitchen .
,%mor,pron|you-Prs-Nom-S2 verb|wait-Fin-Ind-Pres-S2 adp|in noun|kitchen .
,%gra,1|2|NSUBJ 2|4|ROOT 3|4|CASE 4|2|OBL 5|2|PUNCT
NOP,*CHI,how come he's got the hat on ?
,%mor,adv|how verb|come-Fin-Ind-Pres-S3 pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|get-Part-Past-S det|the-Def-Art noun|hat adv|on ?
,%gra,1|2|ADVMOD 2|5|ADVCL 3|5|NSUBJ 4|5|AUX 5|8|ROOT 6|7|DET 7|5|OBJ 8|5|ADVMOD 9|5|PUNCT
,%exp,<1w> Male doll had a chef's hat on
NOP,*CHI,you do that up (.) his pants ?
,%mor,pron|you-Prs-Nom-S2 verb|do-Fin-Ind-Pres-S2 pron|that-Dem-S1 adp|up pron|his-Prs-Gen-S3 noun|pant-Plur ?
,%gra,1|2|NSUBJ 2|6|ROOT 3|2|OBJ 4|6|CASE 5|6|NMOD-POSS 6|2|OBL 7|2|PUNCT
,%xpho,<3w> d&t
NOP,*CHI,I can't do it .
,%mor,pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|do-Inf-S pron|it-Prs-Acc-S3 .
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|5|ROOT 5|4|OBJ 6|4|PUNCT
NOP,*CHI,can you take his hat off ?
,%mor,aux|can-Fin-S pron|you-Prs-Nom-S2 verb|take-Inf-S pron|his-Prs-Gen-S3 noun|hat adp|off ?
,%gra,1|3|AUX 2|3|NSUBJ 3|6|ROOT 4|5|NMOD-POSS 5|3|OBJ 6|3|COMPOUND-PRT 7|3|PUNCT
NOP,*KAR,why do you think he had the hat on ?
,%mor,adv|why aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|think-Inf-S pron|he-Prs-Nom-S3 verb|have-Fin-Ind-Past-S3 det|the-Def-Art noun|hat adp|on ?
,%gra,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|9|ROOT 5|6|NSUBJ 6|4|CCOMP 7|8|DET 8|6|OBJ 9|6|OBL 10|4|PUNCT
NOP,*CHI,cause he was cookin(g) somethin(g) .
,%mor,sconj|cause pron|he-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3 verb|cook-Part-Pres-S pron|something-Ind-S1 .
,%gra,1|4|MARK 2|4|NSUBJ 3|4|AUX 4|5|ROOT 5|4|OBJ 6|4|PUNCT
NOP,*CHI,do his buttons up .
,%mor,verb|do-Fin-Imp-S pron|his-Prs-Gen-S3 noun|button-Plur adv|up .
,%gra,1|4|ROOT 2|3|NMOD-POSS 3|1|OBJ 4|1|ADVMOD 5|1|PUNCT
NOP,*KAR,does the grandmother work ?
,%mor,aux|do-Fin-Ind-Pres-S3 det|the-Def-Art noun|grandmother verb|work-Inf-S ?
,%gra,1|4|AUX 2|3|DET 3|4|NSUBJ 4|4|ROOT 5|4|PUNCT
NOP,*CHI,no not no more .
,%mor,intj|no part|not adv|no adj|more-Cmp-S1 .
,%gra,1|4|DISCOURSE 2|4|ADVMOD 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT
NOP,*CHI,you gotta go to sleep now .
,%mor,pron|you-Prs-Nom-S2 aux|gotta-Fin-S verb|go-Inf-S part|to verb|sleep-Inf-S adv|now .
,%gra,1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|5|MARK 5|3|ADVCL 6|5|ADVMOD 7|3|PUNCT
,%add,doll
NOP,*CHI,goodbye .
,%mor,noun|goodbye .
,%gra,1|1|ROOT 2|1|PUNCT
,%add,doll
NOP,*CHI,oh <look it> [//] look at her cheek .
,%mor,intj|oh verb|look-Fin-Imp-S adp|at pron|her-Prs-Gen-S3 noun|cheek .
,%gra,1|2|DISCOURSE 2|5|ROOT 3|5|CASE 4|5|NMOD-POSS 5|2|OBL 6|2|PUNCT
,%exp,<1w> Doll's cheek
NOP,*KAR,what's wrong with it ?
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 adj|wrong-Pos-S1 adp|with pron|it-Prs-Acc-S3 ?
,%gra,1|3|NSUBJ 2|3|COP 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT
NOP,*CHI,it's got makeup on it .
,%mor,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|get-Part-Past-S noun|makeup adp|on pron|it-Prs-Acc-S3 .
,%gra,1|3|NSUBJ-PASS 2|3|AUX-PASS 3|6|ROOT 4|3|OBJ 5|6|CASE 6|3|OBL 7|3|PUNCT
,%xpho,<3w> m&ke-u
NOP,*CHI,she's gotta go to sleep in own bed right ?
,%mor,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|gotta verb|go-Inf-S part|to verb|sleep-Inf-S adp|in adj|own-Pos-S1 noun|bed adv|right ?
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|10|ROOT 5|6|MARK 6|4|XCOMP 7|9|CASE 8|9|AMOD 9|6|OBL 10|6|ADVMOD 11|4|PUNCT
NOP,*CHI,look at him [//] his [//] on face .
,%mor,verb|look-Fin-Imp-S adp|at adp|on noun|face .
,%gra,1|4|ROOT 2|1|OBL 3|4|CASE 4|1|OBL 5|1|PUNCT
,%gpx,<1w> Indicated a female doll
,%xpho,<6w> de
NOP,*KAR,what_about the face ?
,%mor,intj|whatabout det|the-Def-Art noun|face ?
,%gra,1|3|DISCOURSE 2|3|DET 3|3|ROOT 4|3|PUNCT
NOP,*CHI,makeup .
,%mor,noun|makeup .
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*KAR,how did that get there ?
,%mor,adv|how aux|do-Fin-Ind-Past-S3 pron|that-Dem-S1 verb|get-Inf-S adv|there ?
,%gra,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|5|ROOT 5|4|ADVMOD 6|4|PUNCT
NOP,*CHI,cause she can't sleep .
,%mor,sconj|cause pron|she-Prs-Nom-S3 aux|can-Fin-S~part|not verb|sleep-Inf-S .
,%gra,1|5|MARK 2|5|NSUBJ 3|5|AUX 4|5|ADVMOD 5|5|ROOT 6|5|PUNCT
NOP,*CHI,(o)kay daddy's gotta go to work .
,%mor,intj|okay noun|daddy~part|s aux|gotta-Fin-S verb|go-Inf-S adp|to noun|work .
,%gra,1|5|DISCOURSE 2|5|NSUBJ 3|2|CASE 4|5|AUX 5|7|ROOT 6|7|CASE 7|5|OBL 8|5|PUNCT
NOP,*CHI,that's not her honey right ?
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 part|not pron|her-Prs-Gen-S3 noun|honey adv|right ?
,%gra,1|5|NSUBJ 2|5|COP 3|5|ADVMOD 4|5|NMOD-POSS 5|6|ROOT 6|5|ADVMOD 7|5|PUNCT
,%gpx,<1w> indicating male and female dolls
NOP,*KAR,I don't know .
,%mor,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT
NOP,*KAR,who is it ?
,%mor,pron|who-Int-S1 aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?
,%gra,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT
NOP,*CHI,that's his brother .
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 pron|his-Prs-Gen-S3 noun|brother .
,%gra,1|4|NSUBJ 2|4|COP 3|4|NMOD-POSS 4|4|ROOT 5|4|PUNCT
NOP,*CHI,I like to come over .
,%mor,pron|I-Prs-Nom-S1 verb|like-Fin-Ind-Pres-S1 part|to verb|come-Inf-S adv|over .
,%gra,1|2|NSUBJ 2|5|ROOT 3|4|MARK 4|2|XCOMP 5|4|ADVMOD 6|2|PUNCT
,%exp,<1w> dolls
NOP,*KAR,is everyone still sleeping Melissa ?
,%mor,aux|be-Fin-Ind-Pres-S3 pron|everyone-Tot-S1 adv|still verb|sleep-Ger-S noun|Melissa ?
,%gra,1|4|AUX 2|4|NSUBJ 3|4|ADVMOD 4|5|ROOT 5|4|OBJ 6|4|PUNCT
NOP,*CHI,yes because they're s(u)pposed (t)o be .
,%mor,intj|yes sconj|because pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 verb|suppose-Part-Past-S part|to aux|be-Inf-S .
,%gra,1|5|DISCOURSE 2|5|MARK 3|5|NSUBJ 4|5|AUX 5|7|ROOT 6|7|MARK 7|5|XCOMP 8|5|PUNCT
,%gpx,indicating doll
NOP,*KAR,where does she live ?
,%mor,adv|where aux|do-Fin-Ind-Pres-S3 pron|she-Prs-Nom-S3 verb|live-Inf-S ?
,%gra,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|4|ROOT 5|4|PUNCT
NOP,*CHI,over there .
,%mor,adv|over adv|there .
,%gra,1|2|ADVMOD 2|2|ROOT 3|2|PUNCT
,%gpx,pointed .
NOP,*CHI,come in .
,%mor,verb|come-Fin-Imp-S adv|in .
,%gra,1|2|ROOT 2|1|ADVMOD 3|1|PUNCT
,%exp,Doll knocking at door
NOP,*KAR,is anybody home ?
,%mor,aux|be-Fin-Ind-Pres-S3 pron|anybody-Ind-S1 adv|home ?
,%gra,1|2|COP 2|3|ROOT 3|2|ADVMOD 4|2|PUNCT
,%exp,Doll speaking
NOP,*CHI,nope gone shopping .
,%mor,intj|nope adj|gone-Pos-S1 noun|shopping .
,%gra,1|2|DISCOURSE 2|3|ROOT 3|2|OBJ 4|2|PUNCT
POL,*CHI,could I see the Christmas trees ?
,%mor,aux|could-Fin-S pron|I-Prs-Nom-S1 verb|see-Inf-S det|the-Def-Art noun|Christmas noun|tree-Plur ?
,%gra,1|3|AUX 2|3|NSUBJ 3|6|ROOT 4|6|DET 5|6|COMPOUND 6|3|OBJ 7|3|PUNCT
NOP,*KAR,who's in the house Melissa ?
,%mor,pron|who-Rel-S1~aux|be-Fin-Ind-Pres-S3 adp|in det|the-Def-Art noun|house noun|Melissa ?
,%gra,1|5|NSUBJ 2|5|COP 3|5|CASE 4|5|DET 5|6|ROOT 6|5|VOCATIVE 7|5|PUNCT
,%exp,Dolls
NOP,*CHI,all those kids .
,%mor,det|all-Def det|that-Def-Dem noun|kid-Plur .
,%gra,1|3|DET-PREDET 2|3|DET 3|3|ROOT 4|3|PUNCT
NOP,*KAR,who's outside the house ?
,%mor,pron|who-Rel-S1~aux|be-Fin-Ind-Pres-S3 adp|outside det|the-Def-Art noun|house ?
,%gra,1|5|NSUBJ 2|5|COP 3|5|CASE 4|5|DET 5|5|ROOT 6|5|PUNCT
NOP,*CHI,the door hafta be locked cause they gotta go to sleep .
,%mor,det|the-Def-Art noun|door aux|hafta-Fin-S aux|be-Inf-S verb|lock-Part-Past-S sconj|cause pron|they-Prs-Nom-P3 aux|gotta-Fin-S verb|go-Inf-S adp|to noun|sleep .
,%gra,1|2|DET 2|5|NSUBJ-PASS 3|5|AUX 4|5|AUX-PASS 5|11|ROOT 6|9|MARK 7|9|NSUBJ 8|9|AUX 9|5|ADVCL 10|11|CASE 11|9|OBL 12|5|PUNCT
,%xpho,<9w> dej
NOP,*CHI,pretend that's Mrs .
,%mor,verb|pretend-Fin-Imp-S pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 noun|Mrs .
,%gra,1|4|ROOT 2|4|NSUBJ 3|4|COP 4|1|CCOMP 5|1|PUNCT
,%xpho,<1w> tend <2w> d&t's
NOP,*CHI,Oce (o)kay ?
,%mor,noun|Oce intj|okay ?
,%gra,1|2|ROOT 2|1|DISCOURSE 3|1|PUNCT
NOP,*CHI,(o)kay Mrs .
,%mor,intj|okay noun|Mrs .
,%gra,1|2|DISCOURSE 2|2|ROOT 3|2|PUNCT
NOP,*CHI,Oce's gone babysittin(g) .
,%mor,noun|Oce~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Past-S noun|babysitting .
,%gra,1|3|NSUBJ 2|3|AUX 3|4|ROOT 4|3|OBJ 5|3|PUNCT
NOP,*KAR,what are those people going to do ?
,%mor,pron|what-Int-S1 aux|be-Fin-Ind-Pres-P3 det|that-Def-Dem noun|person-Plur verb|go-Ger-S part|to verb|do-Inf-S ?
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|7|ROOT 5|4|ACL 6|7|MARK 7|5|XCOMP 8|4|PUNCT
NOP,*CHI,she's done school .
,%mor,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Past-S noun|school .
,%gra,1|3|NSUBJ 2|3|AUX 3|4|ROOT 4|3|OBJ 5|3|PUNCT
,%exp,dolls
NOP,*CHI,she's done school .
,%mor,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Past-S noun|school .
,%gra,1|3|NSUBJ 2|3|AUX 3|4|ROOT 4|3|OBJ 5|3|PUNCT
,*CHI,go get the baby .
,%mor,verb|go-Fin-Imp-S verb|get-Fin-Imp-S det|the-Def-Art noun|baby .
,%gra,1|4|ROOT 2|1|PARATAXIS 3|4|DET 4|2|OBJ 5|1|PUNCT
NOP,*CHI,I gotta go the bathroom (o)kay ?
,%mor,pron|I-Prs-Nom-S1 aux|gotta-Fin-S verb|go-Inf-S det|the-Def-Art noun|bathroom intj|okay ?
,%gra,1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|5|DET 5|3|OBJ 6|3|DISCOURSE 7|3|PUNCT
,%act,Went to the washroom
,%xpho,<4w> d&
NOP,*CHI,nah (.) not gonna be the [//] this is not gonna be your husband (o)kay ?
,%mor,intj|nah part|not part|gonna aux|be-Inf-S pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 part|not part|gonna aux|be-Inf-S pron|your-Prs-Gen-S2 noun|husband adj|okay-Pos-S1 ?
,%gra,1|4|DISCOURSE 2|4|ADVMOD 3|4|ADVMOD 4|12|ROOT 5|12|NSUBJ 6|12|AUX 7|12|ADVMOD 8|12|ADVMOD 9|12|COP 10|11|NMOD-POSS 11|12|COMPOUND 12|4|PARATAXIS 13|4|PUNCT
,%xpho,<5w> d& <6w> dis
NOP,*CHI,water in his mouth .
,%mor,noun|water adp|in pron|his-Prs-Gen-S3 noun|mouth .
,%gra,1|4|ROOT 2|4|CASE 3|4|NMOD-POSS 4|1|NMOD 5|1|PUNCT
,%exp,<1w> Picture of boy drinking from tap
NOP,*KAR,what are these people doing ?
,%mor,pron|what-Int-S1 aux|be-Fin-Ind-Pres-P3 det|this-Def-Dem noun|person-Plur verb|do-Ger-S ?
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|5|ROOT 5|4|ACL 6|4|PUNCT
,%exp,Picture of a couple moving
NOP,*CHI,going .
,%mor,verb|go-Ger-S .
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*KAR,what's on the woman's shoulder ?
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 adp|on det|the-Def-Art noun|woman~part|s noun|shoulder ?
,%gra,1|2|NSUBJ 2|7|ROOT 3|7|CASE 4|5|DET 5|7|NMOD-POSS 6|5|CASE 7|2|OBL 8|2|PUNCT
NOP,*CHI,a purse .
,%mor,det|a-Ind-Art noun|purse .
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT
,%act,<aft> Began to play dolls again
NOP,*CHI,that's the other doll's house .
