Annotation,Speaker,Utterance,,
,%mor:,pron|who-Rel-S1~aux|be-Fin-Ind-Pres-S3 verb|sing-Part-Pres-S adv|now ?,,
,%gra:,1|3|NSUBJ 2|3|AUX 3|4|ROOT 4|3|ADVMOD 5|3|PUNCT,,
,%add:,chi,,
NOP,*FAT:,can you tell (6.) ?,,
,%mor:,aux|can-Fin-S pron|you-Prs-Nom-S2 verb|tell-Inf-S ?,,
,%gra:,1|3|AUX 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,
NOP,*CHI:,Ernie .,,
,%mor:,noun|Ernie .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,fat,,
NOP,*MOT:,who is it ?,,
,%mor:,pron|who-Int-S1 aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,chi,,
NOP,*MOT:,Ernie ?,,
,%mor:,noun|Ernie ?,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
NOP,*CHI:,yeah .,,
,%mor:,intj|yeah .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,I don't know .,,
,%mor:,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT,,
,%add:,chi,,
NOP,*MOT:,this is a one [//] a Sesame_street record .,,
,%mor:,pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art det|a-Ind-Art noun|Sesamestreet noun|record .,,
,%gra:,1|6|NSUBJ 2|6|COP 3|6|DET 4|6|DET 5|6|COMPOUND 6|6|ROOT 7|6|PUNCT,,
,%add:,jan,,
NOP,*MOT:,it's an alphabet record .,,
,%mor:,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|alphabet noun|record .,,
,%gra:,1|5|NSUBJ 2|5|COP 3|5|DET 4|5|COMPOUND 5|5|ROOT 6|5|PUNCT,,
NOP,*MOT:,it's wonderful .,,
,%mor:,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|wonderful-Pos-S1 .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
NOP,*FAT:,whole record <that way> [>] .,,
,%mor:,adj|whole-Pos-S1 noun|record det|that-Def-Dem noun|way .,,
,%gra:,1|2|AMOD 2|4|ROOT 3|4|DET 4|2|NMOD-NPMOD 5|2|PUNCT,,
,%add:,jan,,
NOP,*MOT:,<it has> [<] every letter of the alphabet .,,
,%mor:,pron|it-Prs-Nom-S3 verb|have-Fin-Ind-Pres-S3 det|every-Def noun|letter adp|of det|the-Def-Art noun|alphabet .,,
,%gra:,1|2|NSUBJ 2|7|ROOT 3|4|DET 4|2|OBJ 5|7|CASE 6|7|DET 7|4|NMOD 8|2|PUNCT,,
,%add:,jan,,
NOP,*MOT:,I've never seen it in a store .,,
,%mor:,pron|I-Prs-Nom-S1~aux|have-Fin-Ind-Pres-S1 adv|never verb|see-Part-Past-S pron|it-Prs-Acc-S3 adp|in det|a-Ind-Art noun|store .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|8|ROOT 5|4|OBJ 6|8|CASE 7|8|DET 8|4|OBL 9|4|PUNCT,,
NOP,*MOT:,but the library has it .,,
,%mor:,cconj|but det|the-Def-Art noun|library verb|have-Fin-Ind-Pres-S3 pron|it-Prs-Acc-S3 .,,
,%gra:,1|4|CC 2|3|DET 3|4|NSUBJ 4|5|ROOT 5|4|OBJ 6|4|PUNCT,,
NOP,*MOT:,so we took it out from there .,,
,%mor:,adv|so pron|we-Prs-Nom-P1 verb|take-Fin-Ind-Past-P1 pron|it-Prs-Acc-S3 adp|out adp|from adv|there .,,
,%gra:,1|3|ADVMOD 2|3|NSUBJ 3|7|ROOT 4|3|OBJ 5|3|COMPOUND-PRT 6|7|CASE 7|3|OBL 8|3|PUNCT,,
NOP,*JAN:,which library ?,,
,%mor:,det|which-Def-Int noun|library ?,,
,%gra:,1|2|DET 2|2|ROOT 3|2|PUNCT,,
,%add:,mot,,
NOP,*CHI:,xxx xxx [>] .,,
,%add:,unknown,,
NOP,*FAT:,<Cambridge Public Library> [<] .,,
,%mor:,noun|Cambridge adj|Public-Pos-S1 noun|Library .,,
,%gra:,1|3|COMPOUND 2|3|AMOD 3|3|ROOT 4|3|PUNCT,,
,%add:,jan,,
NOP,*JAN:,"oh , that's nice .",,
,%mor:,intj|oh cm|cm pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adj|nice-Pos-S1 .,,
,%gra:,1|5|DISCOURSE 2|1|PUNCT 3|5|NSUBJ 4|5|COP 5|5|ROOT 6|5|PUNCT,,
,%add:,fat,,
NOP,*MOT:,Nanette goes every Tuesday morning .,,
,%mor:,noun|Nanette verb|go-Fin-Ind-Pres-S3 det|every-Def noun|Tuesday noun|morning .,,
,%gra:,1|2|NSUBJ 2|5|ROOT 3|5|DET 4|5|COMPOUND 5|2|OBL-TMOD 6|2|PUNCT,,
,%add:,jan,,
NOP,*MOT:,they have a preschool (..) story hour .,,
,%mor:,pron|they-Prs-Nom-P3 verb|have-Fin-Ind-Pres-P3 det|a-Ind-Art noun|preschool noun|story noun|hour .,,
,%gra:,1|2|NSUBJ 2|6|ROOT 3|6|DET 4|5|COMPOUND 5|6|COMPOUND 6|2|OBJ 7|2|PUNCT,,
NOP,*CHI:,that's (.) catchup .,,
,%mor:,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 noun|catchup .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,mot,,
NOP,*MOT:,yeah .,,
,%mor:,intj|yeah .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,there's the catchup .,,
,%mor:,pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|catchup .,,
,%gra:,1|2|EXPL 2|4|ROOT 3|4|DET 4|2|NSUBJ 5|2|PUNCT,,
NOP,*MOT:,"only the kids that go , &-um , are all Nanette's age .",,
,%mor:,adv|only det|the-Def-Art noun|kid-Plur pron|that-Rel-S1 verb|go-Fin-Ind-Pres-P3 cm|cm cm|cm aux|be-Fin-Ind-Pres-P3 det|all-Def noun|Nanette~part|s noun|age .,,
,%gra:,1|3|ADVMOD 2|3|DET 3|12|NSUBJ 4|5|NSUBJ 5|3|ACL-RELCL 6|12|PUNCT 7|12|PUNCT 8|12|COP 9|10|DET 10|12|NMOD-POSS 11|10|CASE 12|12|ROOT 13|12|PUNCT,,
,%add:,jan,,
NOP,*MOT:,and nobody will read them a story .,,
,%mor:,cconj|and pron|nobody-Neg-S1 aux|will-Fin-S verb|read-Inf-S pron|they-Prs-Acc-P3 det|a-Ind-Art noun|story .,,
,%gra:,1|4|CC 2|4|NSUBJ 3|4|AUX 4|7|ROOT 5|4|IOBJ 6|7|DET 7|4|OBJ 8|4|PUNCT,,
,*JAN:,&=laughs .,,
NOP,*MOT:,because they think they're too young .,,
,%mor:,sconj|because pron|they-Prs-Nom-P3 verb|think-Fin-Ind-Pres-P3 pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|too adj|young-Pos-S1 .,,
,%gra:,1|3|MARK 2|3|NSUBJ 3|7|ROOT 4|7|NSUBJ 5|7|COP 6|7|ADVMOD 7|3|CCOMP 8|3|PUNCT,,
,%add:,jan,,
NOP,*MOT:,but we've developed this wonderful playgroup .,,
,%mor:,cconj|but pron|we-Prs-Nom-P1~aux|have-Fin-Ind-Pres-P1 verb|develop-Part-Past-S det|this-Def-Dem adj|wonderful-Pos-S1 noun|playgroup .,,
,%gra:,1|4|CC 2|4|NSUBJ 3|4|AUX 4|7|ROOT 5|7|DET 6|7|AMOD 7|4|OBJ 8|4|PUNCT,,
NOP,*MOT:,so every week the same mothers go with the same kids .,,
,%mor:,adv|so det|every-Def noun|week det|the-Def-Art adj|same-Pos-S1 noun|mother-Plur verb|go-Fin-Ind-Pres-P3 adp|with det|the-Def-Art adj|same-Pos-S1 noun|kid-Plur .,,
,%gra:,1|7|ADVMOD 2|3|DET 3|7|OBL-TMOD 4|6|DET 5|6|AMOD 6|7|NSUBJ 7|11|ROOT 8|11|CASE 9|11|DET 10|11|AMOD 11|7|OBL 12|7|PUNCT,,
NOP,*MOT:,and it's not like bringing a playgroup to your house .,,
,%mor:,cconj|and pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not sconj|like verb|bring-Ger-S det|a-Ind-Art noun|playgroup adp|to pron|your-Prs-Gen-S2 noun|house .,,
,%gra:,1|6|CC 2|6|NSUBJ-OUTER 3|6|COP 4|6|ADVMOD 5|6|MARK 6|11|ROOT 7|8|DET 8|6|OBJ 9|11|CASE 10|11|NMOD-POSS 11|6|OBL 12|6|PUNCT,,
NOP,*MOT:,"and they've got all the toys (.) and records , and <the books> [>] .",,
,%mor:,cconj|and pron|they-Prs-Nom-P3~aux|have-Fin-Ind-Pres-P3 verb|get-Part-Past-S det|all-Def det|the-Def-Art noun|toy-Plur cconj|and noun|record-Plur cm|cm cconj|and det|the-Def-Art noun|book-Plur .,,
,%gra:,1|4|CC 2|4|NSUBJ 3|4|AUX 4|13|ROOT 5|7|DET-PREDET 6|7|DET 7|4|OBJ 8|9|CC 9|7|CONJ 10|13|PUNCT 11|13|CC 12|13|DET 13|7|CONJ 14|4|PUNCT,,
NOP,*JAN:,<that's nice> [<] !,,
,%mor:,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adj|nice-Pos-S1 !,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,mot,,
NOP,*MOT:,and it's just wonderful .,,
,%mor:,cconj|and pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|just adj|wonderful-Pos-S1 .,,
,%gra:,1|5|CC 2|5|NSUBJ 3|5|COP 4|5|ADVMOD 5|5|ROOT 6|5|PUNCT,,
,%add:,jan,,
NOP,*MOT:,I don't know whether they've caught on yet .,,
,%mor:,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S sconj|whether pron|they-Prs-Nom-P3~aux|have-Fin-Ind-Pres-P3 verb|catch-Part-Past-S adp|on adv|yet .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|10|ROOT 5|8|MARK 6|8|NSUBJ 7|8|AUX 8|4|CCOMP 9|8|COMPOUND-PRT 10|8|ADVMOD 11|4|PUNCT,,
NOP,*MOT:,but +...,,
,%mor:,cconj|but +...,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
NOP,*MOT:,to [/] today they might have caught on .,,
,%mor:,noun|today pron|they-Prs-Nom-P3 aux|might-Fin-S aux|have-Inf-S verb|catch-Part-Past-S adv|on .,,
,%gra:,1|5|OBL-TMOD 2|5|NSUBJ 3|5|AUX 4|5|AUX 5|6|ROOT 6|5|ADVMOD 7|5|PUNCT,,
NOP,*MOT:,"because , remember last time , we wore the earphones , when we listened to the record ?",,
,%mor:,sconj|because cm|cm verb|remember-Fin-Imp-S adj|last-Pos-S1 noun|time cm|cm pron|we-Prs-Nom-P1 verb|wear-Fin-Ind-Past-P1 det|the-Def-Art noun|earphone-Plur cm|cm adv|when pron|we-Prs-Nom-P1 verb|listen-Fin-Ind-Past-P1 adp|to det|the-Def-Art noun|record ?,,
,%gra:,1|3|MARK 2|1|PUNCT 3|8|ADVCL 4|5|AMOD 5|3|OBL-TMOD 6|8|PUNCT 7|8|NSUBJ 8|17|ROOT 9|10|DET 10|8|OBJ 11|8|PUNCT 12|14|ADVMOD 13|14|NSUBJ 14|8|ADVCL 15|17|CASE 16|17|DET 17|14|OBL 18|8|PUNCT,,
,%add:,chi,,
NOP,*CHI:,yeah .,,
,%mor:,intj|yeah .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,what did we do this time ?,,
,%mor:,pron|what-Int-S1 aux|do-Fin-Ind-Past-P1 pron|we-Prs-Nom-P1 verb|do-Inf-S det|this-Def-Dem noun|time ?,,
,%gra:,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|6|ROOT 5|6|DET 6|4|OBL-TMOD 7|4|PUNCT,,
,%add:,chi,,
NOP,*CHI:,hear .,,
,%mor:,verb|hear-Fin-Imp-S .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,"we heard it without the earphones because we [/] we , &-uh , were playing the earphones so loud that the man gave us the actual speaker .",,
,%mor:,pron|we-Prs-Nom-P1 verb|hear-Fin-Ind-Past-P1 pron|it-Prs-Acc-S3 adp|without det|the-Def-Art noun|earphone-Plur sconj|because pron|we-Prs-Nom-P1 cm|cm cm|cm aux|be-Fin-Ind-Past-P1 verb|play-Part-Pres-S det|the-Def-Art noun|earphone-Plur adv|so adv|loud sconj|that det|the-Def-Art noun|man verb|give-Fin-Ind-Past-S3 pron|we-Prs-Acc-P1 det|the-Def-Art adj|actual-Pos-S1 noun|speaker .,,
,%gra:,1|2|NSUBJ 2|24|ROOT 3|2|OBJ 4|6|CASE 5|6|DET 6|2|OBL 7|12|MARK 8|12|NSUBJ 9|12|PUNCT 10|12|PUNCT 11|12|AUX 12|2|ADVCL 13|14|DET 14|12|OBJ 15|16|ADVMOD 16|12|ADVMOD 17|20|MARK 18|19|DET 19|20|NSUBJ 20|16|ADVCL 21|20|IOBJ 22|24|DET 23|24|AMOD 24|20|OBJ 25|2|PUNCT,,
,%add:,chi,,
NOP,*MOT:,and we was the only ones in the library and they were playing [=! chuckles] .,,
,%mor:,cconj|and pron|we-Prs-Nom-P1 aux|be-Fin-Ind-Past-P1 det|the-Def-Art adj|only-Pos-S1 noun|one-Plur adp|in det|the-Def-Art noun|library cconj|and pron|they-Prs-Nom-P3 aux|be-Fin-Ind-Past-P3 verb|play-Part-Pres-S .,,
,%gra:,1|6|CC 2|6|NSUBJ 3|6|COP 4|6|DET 5|6|AMOD 6|13|ROOT 7|9|CASE 8|9|DET 9|6|NMOD 10|13|CC 11|13|NSUBJ 12|13|AUX 13|6|CONJ 14|6|PUNCT,,
,%add:,jan,,
NOP,*MOT:,it was wonderful .,,
,%mor:,pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3 adj|wonderful-Pos-S1 .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
POL,*MOT:,"here's your milk , sweetheart .",,
,%mor:,adv|here~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|milk cm|cm noun|sweetheart .,,
,%gra:,1|6|ROOT 2|1|COP 3|4|NMOD-POSS 4|1|NSUBJ 5|4|PUNCT 6|4|CONJ 7|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,how's your hamburger ?,,
,%mor:,adv|how~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|hamburger ?,,
,%gra:,1|4|ROOT 2|1|COP 3|4|NMOD-POSS 4|1|NSUBJ 5|1|PUNCT,,
NOP,*CHI:,good .,,
,%mor:,adj|good-Pos-S1 .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,good (7.) .,,
,%mor:,adj|good-Pos-S1 .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,mm .,,
,%mor:,intj|mm .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,you're thirsty .,,
,%mor:,pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 adj|thirsty-Pos-S1 .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
NOP,*CHI:,0 [=! making drinking/breathing moises] I'm gonna xxx ya [//] you .,,
,%mor:,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adj|gonna-Pos-S1 pron|you-Prs-Acc-S2 .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|4|ROOT 4|3|OBJ 5|3|PUNCT,,
,%add:,all,,
NOP,*MOT:,you're gonna what ?,,
,%mor:,pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 adv|gonna pron|what-Int-S1 ?,,
,%gra:,1|4|NSUBJ 2|4|COP 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT,,
,%add:,chi,,
NOP,*CHI:,I'm gonna bazam@c you .,,
,%mor:,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adv|gonna verb|bazam-Inf-S pron|you-Prs-Acc-S2 .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|5|ROOT 5|4|OBJ 6|4|PUNCT,,
,%add:,mot,,
NOP,*FAT:,"ya , wha(t) , you gon(na) go bazam@c ?",,
,%mor:,intj|ya cm|cm pron|what-Int-S1 cm|cm pron|you-Prs-Nom-S2 aux|gonna-Fin-S verb|go-Fin-S noun|bazam ?,,
,%gra:,1|3|DISCOURSE 2|1|PUNCT 3|8|ROOT 4|3|PUNCT 5|7|NSUBJ 6|7|AUX 7|3|PARATAXIS 8|7|OBJ 9|3|PUNCT,,
,%add:,chi,,
NOP,*CHI:,yeah .,,
,%mor:,intj|yeah .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,fat,,
NOP,*MOT:,what's that ?,,
,%mor:,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|that-Dem-S1 ?,,
,%gra:,1|3|ROOT 2|1|COP 3|1|NSUBJ 4|1|PUNCT,,
,%add:,chi,,
NOP,*FAT:,what's bazam@c ?,,
,%mor:,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 noun|bazam ?,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,chi,,
NOP,*MOT:,I dunno [: don't know] what that means .,,
,%mor:,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S pron|what-Rel-S1 pron|that-Dem-S1 verb|mean-Fin-Ind-Pres-S3 .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|7|ROOT 5|4|OBJ 6|7|NSUBJ 7|5|ACL-RELCL 8|4|PUNCT,,
,%add:,chi,,
NOP,*FAT:,why are you pointing to Janet ?,,
,%mor:,adv|why aux|be-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|point-Part-Pres-S adp|to noun|Janet ?,,
,%gra:,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|6|ROOT 5|6|CASE 6|4|OBL 7|4|PUNCT,,
,%add:,chi,,
NOP,*FAT:,is she bazam@c ?,,
,%mor:,aux|be-Fin-Ind-Pres-S3 pron|she-Prs-Nom-S3 noun|bazam ?,,
,%gra:,1|3|COP 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,
NOP,*FAT:,are you bazam@c ?,,
,%mor:,aux|be-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 noun|bazam ?,,
,%gra:,1|3|COP 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,
,%add:,jan,,
NOP,*JAN:,&=laughs .,,
NOP,*JAN:,I +...,,
,%mor:,pron|I-Prs-Nom-S1 +...,,?
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,fat,,
POL,*JAN:,"yeah , <gee , I dunno [: don't know]> [>] .",,
,%mor:,intj|yeah cm|cm intj|gee cm|cm pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .,,
,%gra:,1|8|DISCOURSE 2|1|PUNCT 3|8|DISCOURSE 4|8|PUNCT 5|8|NSUBJ 6|8|AUX 7|8|ADVMOD 8|8|ROOT 9|8|PUNCT,,
NOP,*FAT:,<xxx you're> [<] bazam@c and you don't even know it .,,
,%mor:,pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 adj|bazam-Pos-S1 cconj|and pron|you-Prs-Nom-S2 aux|do-Fin-Ind-Pres-S2~part|not adv|even verb|know-Inf-S pron|it-Prs-Acc-S3 .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|10|ROOT 4|9|CC 5|9|NSUBJ 6|9|AUX 7|9|ADVMOD 8|9|ADVMOD 9|3|CONJ 10|9|OBJ 11|3|PUNCT,,
,%add:,jan,,
NOP,*JAN:,&=laughs .,,
NOP,*JAN:,I [/] I haven't been aware of it [=! chuckles] .,,
,%mor:,pron|I-Prs-Nom-S1 aux|have-Fin-Ind-Pres-S1~part|not aux|be-Part-Past-S adj|aware-Pos-S1 adp|of pron|it-Prs-Acc-S3 .,,
,%gra:,1|5|NSUBJ 2|5|AUX 3|5|ADVMOD 4|5|COP 5|7|ROOT 6|7|CASE 7|5|OBL 8|5|PUNCT,,
,%add:,fat and mot,,
POL,*JAN:,maybe that's Nanette's version of my name [=! laughs] .,,
,%mor:,adv|maybe pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 noun|Nanette~part|s noun|version adp|of pron|my-Prs-Gen-S1 noun|name .,,
,%gra:,1|6|ADVMOD 2|6|NSUBJ 3|6|COP 4|6|NMOD-POSS 5|4|CASE 6|9|ROOT 7|9|CASE 8|9|NMOD-POSS 9|6|NMOD 10|6|PUNCT,,
NOP,*CHI:,xxx .,,
,%add:,unknown,,
NOP,*MOT:,"no , she's +...",,
,%mor:,intj|no cm|cm pron|she-Prs-Nom-S3~verb|be-Fin-Ind-Pres-S3 +...,,
,%gra:,1|4|DISCOURSE 2|1|PUNCT 3|4|NSUBJ 4|4|ROOT 5|4|PUNCT,,
,%add:,jan,,
POL,*MOT:,I think Nanette started to say she was going to bang me .,,
,%mor:,pron|I-Prs-Nom-S1 verb|think-Fin-Ind-Pres-S1 noun|Nanette verb|start-Fin-Ind-Past-S3 part|to verb|say-Inf-S pron|she-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3 verb|go-Part-Pres-S part|to verb|bang-Inf-S pron|I-Prs-Acc-S1 .,,
,%gra:,1|2|NSUBJ 2|12|ROOT 3|4|NSUBJ 4|2|CCOMP 5|6|MARK 6|4|XCOMP 7|9|NSUBJ 8|9|AUX 9|6|CCOMP 10|11|MARK 11|9|XCOMP 12|11|OBJ 13|2|PUNCT,,
NOP,*MOT:,"then she said she's gonna go +""/.",,
,%mor:,"adv|then pron|she-Prs-Nom-S3 verb|say-Fin-Ind-Past-S3 pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|gonna verb|go-Inf-S +""/.",,
,%gra:,1|3|ADVMOD 2|3|NSUBJ 3|7|ROOT 4|7|NSUBJ 5|7|AUX 6|7|ADVMOD 7|3|CCOMP 8|3|PUNCT,,
NOP,*MOT:,#ERROR!,,
,%mor:,noun|bazam .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
NOP,*MOT:,cause she told me earlier today she was gonna bang me .,,
,%mor:,sconj|cause pron|she-Prs-Nom-S3 verb|tell-Fin-Ind-Past-S3 pron|I-Prs-Acc-S1 adv|early noun|today pron|she-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3 adv|gonna verb|bang-Inf-S pron|I-Prs-Acc-S1 .,,
,%gra:,1|3|MARK 2|3|NSUBJ 3|11|ROOT 4|3|IOBJ 5|6|ADVMOD 6|3|OBL-TMOD 7|10|NSUBJ 8|10|AUX 9|10|ADVMOD 10|3|CCOMP 11|10|OBJ 12|3|PUNCT,,
NOP,*MOT:,are you mad at me ?,,
,%mor:,aux|be-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 adj|mad-Pos-S1 adp|at pron|I-Prs-Acc-S1 ?,,
,%gra:,1|3|COP 2|3|NSUBJ 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT,,
,%add:,chi,,
NOP,*CHI:,yeah .,,
,%mor:,intj|yeah .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,why ?,,
,%mor:,adv|why ?,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*CHI:,cause xxx ate [/] eated [: ate] [*] pwaydough [: Playdoh] and xxx ate pwaydough [: Playdoh] .,,
,%mor:,sconj|cause verb|eat-Fin-Ind-Past-S noun|Playdoh cconj|and verb|eat-Fin-Ind-Past-S3 noun|Playdoh .,,
,%gra:,1|2|MARK 2|6|ROOT 3|2|OBJ 4|5|CC 5|2|CONJ 6|5|OBJ 7|2|PUNCT,,
,%add:,mot,,
NOP,*MOT:,that's why .,,
,%mor:,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adv|why .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,chi,,
NOP,*MOT:,because Nanette ate the Playdoh .,,
,%mor:,sconj|because noun|Nanette verb|eat-Fin-Ind-Past-S3 det|the-Def-Art noun|Playdoh .,,
,%gra:,1|3|MARK 2|3|NSUBJ 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT,,
,%add:,JAN and chi,,
NOP,*MOT:,and I told her she couldn't eat the Playdoh .,,
,%mor:,cconj|and pron|I-Prs-Nom-S1 verb|tell-Fin-Ind-Past-S1 pron|her-Prs-Acc-S3 pron|she-Prs-Nom-S3 aux|could-Fin-S~part|not verb|eat-Inf-S det|the-Def-Art noun|Playdoh .,,
,%gra:,1|3|CC 2|3|NSUBJ 3|10|ROOT 4|3|IOBJ 5|8|NSUBJ 6|8|AUX 7|8|ADVMOD 8|3|CCOMP 9|10|DET 10|8|OBJ 11|3|PUNCT,,
NOP,*MOT:,and where was I going to put it ?,,
,%mor:,cconj|and adv|where aux|be-Fin-Ind-Past-S3 pron|I-Prs-Nom-S1 verb|go-Part-Pres-S part|to verb|put-Inf-S pron|it-Prs-Acc-S3 ?,,
,%gra:,1|5|CC 2|5|ADVMOD 3|5|AUX 4|5|NSUBJ 5|8|ROOT 6|7|MARK 7|5|XCOMP 8|7|OBJ 9|5|PUNCT,,
,%add:,chi,,
NOP,*CHI:,in cwoset [: closet] .,,
,%mor:,adp|in noun|closet .,,
,%gra:,1|2|CASE 2|2|ROOT 3|2|PUNCT,,
,%add:,mot,,
NOP,*MOT:,in the closet .,,
,%mor:,adp|in det|the-Def-Art noun|closet .,,
,%gra:,1|3|CASE 2|3|DET 3|3|ROOT 4|3|PUNCT,,
,%add:,jan,,
NOP,*MOT:,until you can learn +...,,
,%mor:,sconj|until pron|you-Prs-Nom-S2 aux|can-Fin-S verb|learn-Inf-S +...,,
,%gra:,1|4|MARK 2|4|NSUBJ 3|4|AUX 4|4|ROOT 5|4|PUNCT,,
,%add:,chi,,
NOP,*CHI:,how +...,,
,%mor:,adv|how +...,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,how what ?,,
,%mor:,adv|how pron|what-Int-S1 ?,,
,%gra:,1|2|ADVMOD 2|2|ROOT 3|2|PUNCT,,
,%add:,chi,,
NOP,*CHI:,how pway [: play] wif it .,,
,%mor:,adv|how verb|play-Fin-Ind-S noun|wif pron|it-Prs-Acc-S3 .,,
,%gra:,1|2|ADVMOD 2|4|ROOT 3|2|OBJ 4|2|OBJ 5|2|PUNCT,,
,%add:,mot,,
NOP,*MOT:,that's right .,,
,%mor:,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adj|right-Pos-S1 .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
